objid,ra_1,dec_1,zph,zphErr,clean,zsp,zspErr,zfinal,zfinalErr,ztype,u,g,r,i,z,u_err,g_err,r_err,i_err,z_err,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,veldisp,veldisperr,subclass,instrument,survey,programname,class,Source_id,Isl_id,RA_2,E_RA,DEC_2,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,RA_max,E_RA_max,DEC_max,E_DEC_max,Maj,E_Maj,Min,E_Min,PA,E_PA,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Resid_Isl_rms,Resid_Isl_mean,S_Code,Separation
1237666408441053223,356.885364398301,0.283829548608409,0.279835,0.08742,1,,,0.279835,0.08742,p,19.92197,21.83959,21.22519,19.06137,18.13611,0.824685,0.06145801,0.06112435,0.06121367,0.7907949,0.1236969,0.09638381,0.06667788,0.0495488,0.03685521,,,,,,,,122,114,356.8855252910751,1.9830882598815886E-5,0.2839989512711982,2.3064158062861134E-5,4.6623418223525954E-4,1.714027906714903E-5,3.8160277671996876E-4,8.628628944778719E-6,356.8855252910751,1.9830882598815886E-5,0.2839989512711982,2.3064158062861134E-5,0.0023326668765858744,5.5141007511801334E-5,0.0021136375006989717,4.571608853655458E-5,17.99275491585848,9.787240244847377,0.002332624805789448,5.5141007511801334E-5,0.002113371949049546,4.571608853655458E-5,17.987943087142895,9.787240244847377,0.0011804619996057491,5.5141007511801334E-5,5.34635432691316E-4,4.571608853655458E-5,68.49247437047507,9.787240244847377,0.0011803099287302186,5.5141007511801334E-5,5.346274941847433E-4,4.571608853655458E-5,68.48766254175948,9.787240244847377,4.43386549366647E-4,1.2504225565373386E-5,8.28401061880868E-6,-1.698150100537532E-7,6.2467083807860035E-6,1.1652446119114757E-7,S,0.841069035421912
1237666408440595036,355.839194065398,0.246756238194105,0.563529,0.046415,1,,,0.563529,0.046415,p,19.35928,22.09847,20.89077,20.13205,19.66604,0.3399391,0.1413929,0.08921144,0.0488836,0.1372596,0.1106311,0.08620304,0.05963486,0.0443151,0.03296229,,,,,,,,2069,2011,355.83947372443464,4.812475769427337E-5,0.24687495027137718,7.814702331707342E-5,1.8512507216643888E-4,2.23313818110361E-5,1.7724137472731249E-4,1.2393021986522278E-5,355.83947372443464,4.812475769427337E-5,0.24687495027137718,7.814702331707342E-5,0.0023358997148982246,1.8532835338360811E-4,0.0018041599124980613,1.1117613601995212E-4,171.48086124571185,12.375591754985416,0.0023358965522284926,1.8532835338360811E-4,0.001804158833253449,1.1117613601995212E-4,171.48118874367168,12.375591754985416,0.0,1.8532835338360811E-4,0.0,1.1117613601995212E-4,0.0,12.375591754985416,0.0,1.8532835338360811E-4,0.0,1.1117613601995212E-4,0.0,12.375591754985416,1.5138228491625588E-4,1.5111049218222806E-5,1.241714653588133E-5,-2.8621975616260897E-6,2.554894535933272E-6,-2.9024729428783758E-6,S,1.093714617750452
1237666408440857554,356.410602445136,0.257972007284807,0.563836,0.047679,1,0.6628007,2.76419E-4,0.6628007,2.76419E-4,s,24.07706,23.23718,21.63626,20.52689,19.88176,0.8375797,0.2909432,0.1596356,0.05825237,0.131151,0.1273804,0.09925392,0.0686634,0.05102426,0.03795268,700.7911,360.0281,,BOSS,eboss,eboss,GALAXY,626,603,356.41037070492814,1.6507181889422837E-4,0.2580874501238746,2.14255746882333E-4,6.160615448973512E-5,2.0961316130486343E-5,5.4430109233421305E-5,1.107358482824024E-5,356.41037070492814,1.6507181889422837E-4,0.2580874501238746,2.14255746882333E-4,0.002356989966154732,5.257071350888338E-4,0.0019376349491733137,3.595703589506227E-4,157.35785612078232,46.37973378282773,0.0023569844962619286,5.257071350888338E-4,0.0019375655877906129,3.595703589506227E-4,157.35562484570346,46.37973378282773,0.0010552612657769187,5.257071350888338E-4,0.0,3.595703589506227E-4,126.60451308613158,46.37973378282773,0.0010552411268318093,5.257071350888338E-4,0.0,3.595703589506227E-4,126.6022818110527,46.37973378282773,4.504627041315369E-5,1.1181998890251984E-5,1.0844260032172315E-5,-1.2906724577987916E-6,1.0599247843856574E-6,-1.283425945075578E-6,S,0.9320419040663447
1237666408440857455,356.506337957989,0.307319408216975,0.563408,0.065459,1,,,0.563408,0.065459,p,22.02663,21.2389,20.36806,19.63425,19.21863,0.3050274,0.05939645,0.06057066,0.03884675,0.09786471,0.1225016,0.09545238,0.06603352,0.04906998,0.03649905,,,,,,,,489,472,356.5067242550617,1.5929755542496733E-4,0.3074281091082825,2.6038471613547623E-4,8.681846662133529E-5,2.7253342421277776E-5,6.27287145762457E-5,1.2464800331564887E-5,356.5067242550617,1.5929755542496733E-4,0.3074281091082825,2.6038471613547623E-4,0.002764768177665805,6.268420773692762E-4,0.002019939717060117,3.5178463417598186E-4,14.538311618708446,30.268296777742375,0.0027647558575037445,6.268420773692762E-4,0.002019840982602067,3.5178463417598186E-4,14.535136796608157,30.268296777742375,0.001723058392127132,6.268420773692762E-4,7.254617658552532E-4,3.5178463417598186E-4,25.81021746858159,30.268296777742375,0.0017230380397824283,6.268420773692762E-4,7.254316410569148E-4,3.5178463417598186E-4,25.807042646481303,30.268296777742375,5.4824746866319796E-5,1.2522456182406482E-5,1.1933009773201775E-5,-1.44160355830536E-6,1.18539969662379E-6,-1.434857040294446E-6,S,1.4446590419557377
1237666408440595422,355.770757745944,0.38767884109395,0.534729,0.091808,1,,,0.534729,0.091808,p,22.32043,22.93869,22.20348,22.92944,23.7302,0.283062,0.4203173,0.2249267,0.3493448,0.4588716,0.09828573,0.07658358,0.05298017,0.03936994,0.029284,,,,,,,,2279,2228,355.7705453590536,8.684099039340069E-5,0.387787079237012,1.3623020579051266E-4,1.3601622582885397E-4,2.5970158480156123E-5,1.1312807359927021E-4,1.3138413197971856E-5,355.7705453590536,8.684099039340069E-5,0.387787079237012,1.3623020579051266E-4,0.002482242368698069,3.2135825969302007E-4,0.0019543664130686924,2.0361311892576814E-4,4.3743473843144605,22.208579620939407,0.002482240628487218,3.2135825969302007E-4,0.0019543605702875347,2.0361311892576814E-4,4.375328412941869,22.208579620939407,0.001150897448222066,3.2135825969302007E-4,6.541890651919722E-4,2.0361311892576814E-4,18.483047729263166,22.208579620939407,0.0011508956971657475,3.2135825969302007E-4,6.541876461966089E-4,2.0361311892576814E-4,18.484028757890574,22.208579620939407,1.0347849525244901E-4,1.4067573351966303E-5,1.2761557627527509E-5,-2.9398811420833226E-6,3.490573135422892E-6,-2.887631126213819E-6,S,0.858142301644932
1237666408440595014,355.835373295041,0.375858607684282,0.378025,0.133785,1,,,0.378025,0.133785,p,22.67099,22.31782,21.5642,20.91765,21.2436,0.3870929,0.09002647,0.07071396,0.0809193,0.2935597,0.1078366,0.08402555,0.05812849,0.04319569,0.03212966,,,,,,,,2080,2023,355.83635184652167,4.018869624065473E-5,0.375909956736718,6.410170838394166E-5,2.4633367544175537E-4,2.4229321063140115E-5,2.3173392233076233E-4,1.3300531612903378E-5,355.83635184652167,4.018869624065473E-5,0.375909956736718,6.410170838394166E-5,0.0023462303297211566,1.5198236030454845E-4,0.0018280678939003275,9.296694408293777E-5,171.53332390633986,10.486804412587007,0.0023462299416809464,1.5198236030454845E-4,0.0018280658898306428,9.296694408293777E-5,171.53384292445503,10.486804412587007,7.960402924190511E-4,1.5198236030454845E-4,0.0,9.296694408293777E-5,158.24122627140594,10.486804412587007,7.960402732761147E-4,1.5198236030454845E-4,0.0,9.296694408293777E-5,158.2417452895211,10.486804412587007,2.0822741165953676E-4,1.863523620890829E-5,1.3261502317618579E-5,-2.887716846089461E-6,4.6749614739383105E-6,-3.113975253654644E-6,S,3.5275564255205816
1237666407366787895,355.729174183337,-0.493671679704376,0.394196,0.086473,1,,,0.394196,0.086473,p,22.94566,23.86446,22.57765,21.51965,20.59474,1.297395,0.6913631,0.2343639,0.3702584,0.3667492,0.1399053,0.1090133,0.07541487,0.05604133,0.04168445,,,,,,,,2410,2355,355.7295355859425,1.714687123386674E-4,-0.4934322253555039,2.2326764770566878E-4,1.2657011947424075E-4,2.832553651322247E-5,6.125558403703035E-5,9.75776920744441E-6,355.7295355859425,1.714687123386674E-4,-0.4934322253555039,2.2326764770566878E-4,0.0031396477446536085,5.281826975177558E-4,0.002655706358885037,4.0057747327469395E-4,8.513258805181259,42.97329917065681,0.0031393510559651096,5.281826975177558E-4,0.002655668520691155,4.0057747327469395E-4,8.511658525795099,42.97329917065681,0.002253511086643357,5.281826975177558E-4,0.0018979647355240358,4.0057747327469395E-4,21.426636898763654,42.97329917065681,0.0022533431836762557,5.281826975177558E-4,0.0018978997462307135,4.0057747327469395E-4,21.425036619377494,42.97329917065681,9.335491232751025E-5,1.2031673276741156E-5,9.006096661323681E-6,-8.892664027371211E-8,1.9094050003332086E-6,-7.01237965472501E-8,S,1.5606759298123614
1237666408440595336,355.903483530928,0.352060049232829,,,0,1.293149,9.074796E-5,1.293149,9.074796E-5,s,23.22314,22.73027,22.35294,23.03214,21.0407,0.7251142,0.2535178,0.3530895,0.4893912,0.3443558,0.1138998,0.08874997,0.06139681,0.04562441,0.03393618,392.7149,92.90009,,BOSS,eboss,eboss,GALAXY,1912,1851,355.90316835545616,3.08189683165746E-4,0.3527820465740434,3.788531514457832E-4,2.099723088260451E-4,5.786500567681366E-5,6.460446083923943E-5,1.3987632804209708E-5,355.90316835545616,3.08189683165746E-4,0.3527820465740434,3.788531514457832E-4,0.00412941087507943,9.513238127526064E-4,0.0031757017308633876,6.461939209128403E-4,151.76190478195403,40.35462266808696,0.004129410758839716,9.513238127526064E-4,0.003175701513555661,6.461939209128403E-4,151.76198023818654,40.35462266808696,0.0035331859384711657,9.513238127526064E-4,0.0025347959535034935,6.461939209128403E-4,145.89762153344736,40.35462266808696,0.0035331858691260965,9.513238127526064E-4,0.0025347957587175027,6.461939209128403E-4,145.8976969896799,40.35462266808696,0.004358834167409389,1.0687267501696224E-4,1.3456786291499157E-5,-2.7647554361465154E-6,2.4343287805095315E-5,3.521315011312254E-5,C,2.8360414786444186
1237666408440595335,355.903636753452,0.391593635196809,0.33221,0.092248,1,,,0.33221,0.092248,p,21.1409,20.47787,20.03167,19.49036,19.24179,0.3246898,0.0544585,0.03833856,0.03495178,0.0933541,0.1081539,0.08427275,0.0582995,0.04332278,0.03222419,,,,,,,,1919,1856,355.90383235981915,1.314716330247511E-4,0.3917399882948092,1.6731129890947794E-4,5.8791955524165854E-5,2.0163213967791723E-5,6.874572384746396E-5,1.2854690048448287E-5,355.90383235981915,1.314716330247511E-4,0.3917399882948092,1.6731129890947794E-4,0.001988794098847971,4.0027153259197514E-4,0.0017350455948793157,3.014240154864815E-4,164.44012109175287,58.92370883572429,0.0019887931634401507,4.0027153259197514E-4,0.0017350453949576325,3.014240154864815E-4,164.44020033392246,58.92370883572429,0.0,4.0027153259197514E-4,0.0,3.014240154864815E-4,0.0,58.92370883572429,0.0,4.0027153259197514E-4,0.0,3.014240154864815E-4,0.0,58.92370883572429,4.125258807851577E-5,1.3129580833573467E-5,1.3475359082804061E-5,-2.6426514523336664E-6,3.6791030311178474E-7,-2.672534037628793E-6,S,0.8794564386218122
1237666408441053425,356.875211571563,0.271664673118133,0.42693,0.092207,1,0.4190135,3.234139E-5,0.4190135,3.234139E-5,s,20.70314,21.06301,20.03985,19.63448,19.43807,0.149922,0.05452402,0.03112778,0.0282939,0.1144435,0.1231035,0.09592143,0.066358,0.04931111,0.0366784,0.0,0.0,BROADLINE,SDSS,sdss,southern,QSO,129,119,356.87546512872984,1.0816471957872437E-4,0.2719992908256099,1.461924381590049E-4,1.2588447554962972E-4,2.1549375302016217E-5,7.75685173840574E-5,8.85331569094992E-6,356.87546512872984,1.0816471957872437E-4,0.2719992908256099,1.461924381590049E-4,0.00285374871633382,3.539872572260539E-4,0.0022948822044990746,2.4100686827560432E-4,18.530133950272475,24.080422232463995,0.0028536921336324472,3.539872572260539E-4,0.002294604336127111,2.4100686827560432E-4,18.5255730660369,24.080422232463995,0.0019002110301015902,3.539872572260539E-4,0.0012530402138956828,2.4100686827560432E-4,34.99090048972784,24.080422232463995,0.0019001073022166767,3.539872572260539E-4,0.0012529320407650064,2.4100686827560432E-4,34.98633960549226,24.080422232463995,1.0263206356451429E-4,1.055757925441162E-5,8.262083611043636E-6,-2.0706704617623473E-7,1.3710019857171574E-6,-2.0291886926315783E-7,S,1.5113947356273232
