# HEADER
  402766       0.742779       1.4628063733799999e-06       3.5325857350449564e-08       4.274837300799999e-06       7.923256164069207e-08       6.795985840799999e-06       1.652871982273859e-07       9.198134891599998e-06       2.174407279621969e-07       2.6171409239e-05       1.932542721116395e-06       
  402768       0.262954       4.3920118494e-05       1.9985982609789485e-07       0.000158975009117       3.341868192827546e-07       0.00026046223252       7.741096337196477e-07       0.00035166029485399994       9.867881128019328e-07       0.00057873721073       3.3562848615132897e-06       
  402769       0.131295       5.2538867060999995e-05       1.417061205872858e-07       0.00010070926349799999       2.2025805710899295e-07       0.00013623893254999998       4.944407997629753e-07       0.00016093220163       6.248171081826691e-07       0.00012496097392999998       2.3905995748873563e-06       
  402773       0.205905       2.5605274611999996e-06       3.575644672570668e-08       1.0909355476399998e-06       7.089060689859163e-08       0       0       0       0       2.15308300226e-06       1.8591501909927746e-06       
  402784       0.474624       2.67503928857e-06       7.891118177478865e-08       1.1164843892499998e-05       1.1568072193225634e-07       1.97048364326e-05       2.956921178750449e-07       2.6441003000799997e-05       3.581877554904183e-07       3.7742505751e-05       1.951191899585507e-06       
  402788       0.675098       2.0096012777e-06       3.68963693935457e-08       5.2648505106e-06       8.074800610713625e-08       8.6113442318e-06       1.7544564571357952e-07       1.1282332885700001e-05       2.3748676547357655e-07       2.1104974360299997e-05       1.8594828861738992e-06       
  402800       0.071993       4.9320087229e-05       8.942266728478065e-08       6.9214968023e-05       1.9216310233285234e-07       8.5585280689e-05       3.7534642211322933e-07       9.099286363099999e-05       5.106417720468068e-07       7.697868871e-05       2.2451622996367713e-06       
  402801       0.321356       1.5209245950999999e-05       4.891095668021105e-08       2.53864113667e-05       1.051347428362214e-07       3.3494282953999994e-05       2.1465907658072632e-07       3.730859761999999e-05       2.712828198725062e-07       5.6859869621999986e-05       1.9736012974288778e-06       
  402829       0.534291       4.831597412e-06       7.92526271119361e-08       1.0891335186499998e-05       1.1812535419237329e-07       1.4627023089199996e-05       3.374897084735882e-07       1.6094730659e-05       3.4518952221067636e-07       3.549760369099999e-05       1.9383320302941285e-06       
  402834       0.297517       1.5179026953499999e-05       5.463983211450111e-08       5.4635769560999995e-05       1.3168675859233896e-07       8.683405783999998e-05       2.6649659358738854e-07       0.000113747520025       3.297861693887999e-07       0.000138708578986       2.2375045378875465e-06       
