ra_1,dec_1,z_noqso,ssfr_mean_1,age_1,age_mean_1,ssfr_1,z_sf_1,z_1,specobjid_sf,Column1,logMass,logMass_err,logMass_min,logMass_max,objid,ra_2,dec_2,raErr,decErr,zph,zphErr,clean,u,g,r,i,z_2,u_err,g_err,r_err,i_err,z_err,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,bestobjid,ra_spec,dec_spec,zsp,zspErr,veldisp,veldisperr,subclass,instrument,survey,programname,class,ssfr_mean_2,age_2,age_mean_2,ssfr_2,z_sf_2,specObjID,Separation
355.61213,0.6327094,0,-1.05475786599865,6.13574314117432,6.13574314118626,-1.05447793006897,0.06006883,0.06006883,768036677032634368,0,9.92563031237503,0.0118681572258544,9.92563031237503,9.92563031237503,1237657191977058309,355.612154498867,0.632750045853857,0.00363379369516264,0.00356895364926105,0.083009,0.017713,1,18.8826,17.86783,17.46375,17.04998,17.00716,0.02053124,0.006010676,0.005780845,0.005945405,0.01344113,0.1187386,0.09252029,0.06400511,0.04756266,0.03537787,1237657191977058309,355.61213,0.6327094,0.06006883,7.145321E-06,66.05229,18.18064,STARBURST,SDSS,sdss,southern,GALAXY,null,null,null,null,null,null,0.17084671263684267
354.82401,-0.2496803,0,-1.94762265550892,8.08847904205322,8.57136015135662,-1.94437730312347,0.06934948,0.06934948,433533891333089280,0,10.9044317866854,0.0210209328058839,10.9044317866854,10.9462509581118,1237663783658258581,354.82399657775,-0.249643504999724,0.00529975112274947,0.00567803152862402,0.069136,0.013583,1,18.9046,17.31947,16.44746,16.02314,15.63392,0.04897857,0.005963196,0.004498519,0.004273426,0.008997571,0.1565254,0.1219635,0.08437379,0.06269877,0.04663637,1237663783658258581,354.82401,-0.2496803,0.06934948,8.661533E-06,131.3683,10.351,STARFORMING,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.14099989163952936
354.74502,0.03454352,0,-1.44961507004001,7.12853956222534,7.76055133544697,-1.40960383415222,0.05975379,0.05975379,433579246187735040,0,10.6789630770372,0.0212979363505606,10.6714072670607,10.7113764925417,1237663784195063995,354.745025877201,0.0345526726066792,0.00985019633136025,0.0167540722148707,0.066008,0.022639,1,17.95797,16.93576,16.27676,15.97606,15.59969,0.03903598,0.005872363,0.004993124,0.00490459,0.0130037,0.1464355,0.1141015,0.07893492,0.0586571,0.0436301,1237663784195063995,354.74502,0.03454352,0.05975379,1.802853E-05,85.54669,10.10974,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.03915762347998924
355.05289,0.40908748,0,-1.09194098716645,6.13574314117432,6.41822247423704,-1.05661308765411,0.06786417,0.06786417,433599862030755840,0,10.4020295803861,0.0160218072252032,10.4020295803861,10.4308926049438,1237666408440267004,355.052922824273,0.40910517513592,0.00556518863065661,0.00616445878364977,0.083157,0.019044,1,19.07565,17.71954,17.07756,16.72655,16.49424,0.0440485,0.006646888,0.00586143,0.005703452,0.01525554,0.147313,0.1147853,0.07940793,0.0590086,0.04389156,1237666408440267004,355.05289,0.40908748,0.06786417,9.057313E-06,67.87286,11.79151,STARFORMING,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.13424166891332878
355.86165,0.36044068,0,-2.31990608556511,8.98590183258057,8.88472362002188,-2.28067326545715,0.06912668,0.06912668,433623776408659968,0,11.3716982559714,0.015065558930517,11.3461058642728,11.3839262091418,1237666408440594562,355.86168832126,0.360419039099998,0.00313501180985371,0.00357557458129665,0.071264,0.009127,1,18.28127,16.38161,15.50555,15.05295,14.83521,0.03618366,0.003772203,0.003013936,0.00285054,0.005688201,0.1118139,0.08712462,0.0602724,0.04478886,0.03331468,1237666408440594562,355.86165,0.36044068,0.06912668,1.429275E-05,191.527,6.319903,AGN BROADLINE,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.15843229065083309
356.65766,-0.77050346,0,-8.54373114565654,7.72116708755493,8.90806636349826,-2.68301177024841,0.1860523,0.1860523,434678483021490176,0,11.6063418595384,0.0281467226580936,11.5640156314411,11.6192370004024,1237663783122174086,356.657649696157,-0.77046040498579,0.00530869133843854,0.00500378196947025,0.189758,0.010349,1,20.39559,18.65256,17.43285,16.90764,16.59045,0.1122408,0.01220518,0.00674829,0.006158873,0.012041,0.1579658,0.1230859,0.08515026,0.06327577,0.04706555,1237663783122174086,356.65766,-0.77050346,0.1860523,4.90555E-05,235.1325,14.52551,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.15937408710581052
356.32895,-0.14707096,0,-2.27272012355672,8.98590183258057,9.46346123447885,-2.28298377990723,0.03698095,0.03698095,434680956922652672,0,10.7946649377171,0.0206275301510892,10.7946649377171,10.8325637089607,1237657190903578856,356.328942101583,-0.147051740906196,0.00375083577960768,0.00331170466220569,0.064992,0.0137,1,17.8222,16.41749,15.52109,15.08014,14.684,0.0243993,0.003740202,0.003055986,0.002943936,0.005227115,0.1739194,0.1355168,0.09374989,0.06966621,0.05181886,1237657190903578856,356.32895,-0.14707096,0.03698095,1.621418E-05,150.9159,6.547624,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.0748036468958498
355.04025,0.75677461,0,-1.37229627526717,7.45889949798584,7.47504001055151,-1.38497459888458,0.1188643,0.1188643,433573473751689216,0,11.2035823983393,0.0185458220473757,11.1963122438867,11.220441348501,1237657191976796336,355.040272816639,0.756775823996664,0.00568986606687553,0.00515829818766011,0.117711,0.022301,1,19.29642,17.60538,16.89412,16.52071,16.27395,0.04931173,0.008005857,0.00608352,0.006125201,0.01351582,0.135802,0.105816,0.07320303,0.0543977,0.04046189,1237657191976796336,355.04025,0.75677461,0.1188643,1.281481E-05,137.1214,12.86469,STARFORMING,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.08224893034563568
354.76909,0.7271374,0,-16.4185120794356,9.58211898803711,9.74299029195415,-4.79824781417847,0.1833089,0.1833089,433574023507503104,0,11.4036216361237,0.0320389285445306,11.414683440968,11.4850690412802,1237657191976665203,354.769096092598,0.727160332774569,0.00581767760996171,0.0053479936454345,0.205608,0.011879,0,21.37796,19.06056,17.71248,17.18319,16.87368,0.1628136,0.01379033,0.00741504,0.007130227,0.0151454,0.1602072,0.1248323,0.08635844,0.06417357,0.04773335,1237657191976665203,354.76909,0.7271374,0.1833089,4.082589E-05,245.2476,18.27498,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.08542140206553754
354.75144,0.71607983,0,-12.4146086778369,8.09295845031738,9.27580263643839,-3.55206990242004,0.1834083,0.1834083,433575123019130880,0,11.7868403384562,0.0263297819548392,11.7620782424173,11.8132336607892,1237657191976665190,354.751440498869,0.716102971251075,0.00720223200415762,0.00607321783354819,0.186584,0.008548,1,19.29406,18.06279,16.92027,16.39141,16.11673,0.1109221,0.01052757,0.00578953,0.005567896,0.01132298,0.1595128,0.1242913,0.08598414,0.06389543,0.04752646,1237657191976665190,354.75144,0.71607983,0.1834083,5.318979E-05,336.7407,17.7786,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.08332785651816958
