ra,dec,z_noqso,ssfr_mean,age,age_mean,ssfr,z_sf,z,specobjid_sf,Column1,logMass,logMass_err,logMass_min,logMass_max
355.08644,1.2458505,0,-1.33567446831155,8.30928421020508,7.77248758390828,-1.41840445995331,0.006269236,0.006269236,433581994966804480,0,9.32143029727623,0.00871667937258685,9.30815406477496,9.32143029727623
355.51456,1.1612284,0,-1.05457427409088,6.13574314117432,6.13574314117432,-1.05447793006897,0.09035098,0.09035098,433592715205175296,0,10.4486241665276,0.00886195232563453,10.4486241665276,10.4486241665276
355.15137,0.54499327,0,-1.10467006546069,6.13574314117432,6.50804687034891,-1.05661308765411,0.04049608,0.04049608,433599037397035008,0,9.45468116585831,0.0220164591299422,9.45468116585831,9.49683544916801
356.01254,0.52134025,0,-1.13229002601711,6.58355951309204,6.84859419687028,-1.09648907184601,0.02301481,0.02301481,433632022745868288,0,6.57520850872235,0.592290531895067,6.58997252139665,6.69654553450388
358.72777,-0.26437033,0,-1.04512872265185,5.69453907012939,5.92061695159933,-1.01479029655457,0.1276004,0.1276004,434616360614520832,0,10.8187218640643,0.0228999063227045,10.7903127219296,10.8241578781239
357.67799,-1.150489,0,-1.40703095560519,6.92124652862549,7.29344929086516,-1.32224643230438,0.1399664,0.1399664,434633128166844416,0,11.5019478032457,0.0249038079985794,11.4681212696763,11.5138982245582
358.22192,-0.38242606,0,-1.08083687804391,6.13574314117432,6.31058656939627,-1.05447793006897,0.04476886,0.04476886,434642474015680512,0,10.2774310602388,0.0103363757878225,10.2676543680751,10.2808628388818
357.55646,-0.782415,0,-1.13802367915371,6.13574314117432,6.68713444033719,-1.05447793006897,0.07169203,0.07169203,434657042544748544,0,10.2065885759252,0.0214883852673334,10.1976165941496,10.2314979768651
357.52621,-0.46913459,0,-1.94018479053538,8.08847904205322,8.2251785841872,-1.94437730312347,0.05536605,0.05536605,434661715469166592,0,11.1497119133214,0.0101445384762873,11.1497119133214,11.1718433098483
357.01538,0.064011392,0,-0.973303916009008,5.26003503799438,5.29325462807445,-0.967901110649109,0.1892121,0.1892121,434672160829630464,0,10.5430899855683,0.0315299020962581,10.5283584130364,10.5868784505036
